permalink,company,numEmps,category,city,state,fundedDate,raisedAmt,raisedCurrency,round
lifelock,LifeLock,,web,Tempe,AZ,2007-05-01 12:00:00 -0400,6850000,USD,b
lifelock,LifeLock,,web,Tempe,AZ,2006-10-01 12:00:00 -0400,6000000,USD,a
lifelock,LifeLock,,web,Tempe,AZ,2008-01-01 12:00:00 -0500,25000000,USD,c
mycityfaces,MyCityFaces,7,web,Scottsdale,AZ,2008-01-01 12:00:00 -0500,50000,USD,seed
flypaper,Flypaper,,web,Phoenix,AZ,2008-02-01 12:00:00 -0500,3000000,USD,a
infusionsoft,Infusionsoft,105,software,Gilbert,AZ,2007-10-01 12:00:00 -0400,9000000,USD,a
gauto,gAuto,4,web,Scottsdale,AZ,2008-01-01 12:00:00 -0500,250000,USD,seed
chosenlist-com,ChosenList.com,5,web,Scottsdale,AZ,2006-10-01 12:00:00 -0400,140000,USD,seed
chosenlist-com,ChosenList.com,5,web,Scottsdale,AZ,2008-01-25 12:00:00 -0500,233750,USD,angel
digg,Digg,60,web,San Francisco,CA,2006-12-01 12:00:00 -0500,8500000,USD,b
digg,Digg,60,web,San Francisco,CA,2005-10-01 12:00:00 -0400,2800000,USD,a
facebook,Facebook,450,web,Palo Alto,CA,2004-09-01 12:00:00 -0400,500000,USD,angel
facebook,Facebook,450,web,Palo Alto,CA,2005-05-01 12:00:00 -0400,12700000,USD,a
facebook,Facebook,450,web,Palo Alto,CA,2006-04-01 12:00:00 -0500,27500000,USD,b
facebook,Facebook,450,web,Palo Alto,CA,2007-10-01 12:00:00 -0400,300000000,USD,c
facebook,Facebook,450,web,Palo Alto,CA,2008-03-01 12:00:00 -0500,40000000,USD,c
facebook,Facebook,450,web,Palo Alto,CA,2008-01-15 12:00:00 -0500,15000000,USD,c
facebook,Facebook,450,web,Palo Alto,CA,2008-05-01 12:00:00 -0400,100000000,USD,debt_round
photobucket,Photobucket,60,web,Palo Alto,CA,2006-05-01 12:00:00 -0400,10500000,USD,b
photobucket,Photobucket,60,web,Palo Alto,CA,2005-03-01 12:00:00 -0500,3000000,USD,a
omnidrive,Omnidrive,,web,Palo Alto,CA,2006-12-01 12:00:00 -0500,800000,USD,angel
geni,Geni,18,web,West Hollywood,CA,2007-01-01 12:00:00 -0500,1500000,USD,a
geni,Geni,18,web,West Hollywood,CA,2007-03-01 12:00:00 -0500,10000000,USD,b
